,cgpa,iq,placement
0,7.9,132.0,1
1,8.3,122.0,0
2,9.0,133.0,1
3,6.0,128.0,0
4,5.1,127.0,0
5,6.0,141.0,0
6,8.6,147.0,1
7,6.5,121.0,1
8,9.3,117.0,1
9,8.8,126.0,1
10,8.6,118.0,0
11,6.7,102.0,0
12,8.7,98.0,0
13,8.2,100.0,1
14,6.0,119.0,1
15,5.5,126.0,1
16,7.9,110.0,1
17,6.2,131.0,0
18,7.9,113.0,0
19,5.7,114.0,0
20,9.5,108.0,0
21,8.8,105.0,0
22,6.0,133.0,1
23,5.9,123.0,0
24,8.9,111.0,1
25,9.1,140.0,1
26,6.2,120.0,1
27,7.6,139.0,0
28,6.8,130.0,0
29,5.4,160.0,1
30,5.5,101.0,0
31,5.3,101.0,0
32,9.5,90.0,0
33,5.1,113.0,0
34,8.1,108.0,0
35,5.5,117.0,0
36,7.0,149.0,1
37,7.3,111.0,1
38,9.1,129.0,1
39,7.7,111.0,1
40,8.4,95.0,0
41,5.0,114.0,0
42,5.1,148.0,0
43,6.4,107.0,1
44,9.0,126.0,1
45,5.3,118.0,0
46,8.4,132.0,1
47,6.2,132.0,0
48,6.9,124.0,0
49,5.9,138.0,1
50,9.5,111.0,1
51,5.5,107.0,0
52,6.5,111.0,1
53,5.3,114.0,0
54,6.0,145.0,1
55,6.1,103.0,0
56,6.0,144.0,0
57,7.1,146.0,0
58,8.6,122.0,1
59,6.9,126.0,1
60,8.3,100.0,1
61,6.8,90.0,0
62,8.9,120.0,1
63,6.9,130.0,1
64,6.1,134.0,0
65,7.5,112.0,1
66,9.5,140.0,0
67,8.8,90.0,1
68,7.2,123.0,1
69,6.7,135.0,0
70,6.2,124.0,0
71,9.3,104.0,0
72,7.5,118.0,1
73,9.4,111.0,1
74,7.4,120.0,0
75,7.3,115.0,0
76,5.7,126.0,1
77,7.7,119.0,0
78,6.1,143.0,1
79,7.7,142.0,1
80,6.9,104.0,0
81,5.9,111.0,0
82,6.1,102.0,0
83,6.4,134.0,0
84,5.3,90.0,0
85,5.3,134.0,1
86,6.2,148.0,0
87,6.7,107.0,1
88,8.8,114.0,0
89,7.9,100.0,1
90,8.7,113.0,0
91,5.6,141.0,1
92,5.5,109.0,0
93,8.2,116.0,1
94,7.9,118.0,0
95,8.8,137.0,1
96,6.9,120.0,0
97,7.9,121.0,1
98,8.3,105.0,1
99,5.3,115.0,0
100,9.1,93.0,0
101,5.7,112.0,1
102,6.4,142.0,0
103,9.0,104.0,1
104,6.1,141.0,0
105,6.8,136.0,0
106,5.7,147.0,0
107,8.6,107.0,0
108,5.1,119.0,0
109,8.6,107.0,0
110,8.6,117.0,1
111,8.9,146.0,0
112,6.0,127.0,1
113,8.6,105.0,1
114,5.1,125.0,0
115,9.4,133.0,1
116,7.9,90.0,0
117,9.2,145.0,1
118,9.4,137.0,1
119,5.5,155.0,1
120,8.3,112.0,1
121,6.7,139.0,0
122,6.1,120.0,0
123,7.4,119.0,0
124,8.3,113.0,1
125,8.0,107.0,1
126,6.4,134.0,1
127,6.4,100.0,0
128,6.8,118.0,0
129,9.2,128.0,1
130,9.1,111.0,1
131,5.0,112.0,0
132,6.9,101.0,0
133,7.0,109.0,1
134,7.1,142.0,1
135,5.4,104.0,0
136,7.8,106.0,0
137,8.0,144.0,1
138,5.9,131.0,0
139,8.8,122.0,1
140,6.9,113.0,0
141,7.2,113.0,1
142,8.0,145.0,0
143,5.5,121.0,0
144,5.8,137.0,1
145,6.1,115.0,0
146,7.1,127.0,0
147,7.7,99.0,0
148,9.0,102.0,1
149,8.7,104.0,0
